Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),TRSP(%),TFPS(Hz),RRSP(%),TPWR(dBm),Ptch(rad),Roll(rad),Yaw(rad),FM,RxBt(V),Curr(A),Capa(mAh),Bat%(%),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,VSpd(m/s),Hdg(°),GSpd(m/s),Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-02-09,16:15:40.610,-19,0,100,0,0,1,250,-19,100,11,100,50,100,24,-0.07,0.02,0.13,"ANGL",16.6,0.4,201,97,51.442148 11.576354,3.2,171.60,9,21,0.0,308,0,11,24,-1024,-13,-1024,-1024,-1024,948,22,0,0,0,0,0,1,0,-1,0x0500800000000000,1494,1511,1000,1505,1000,1275,1000,1500,1031,1500,1500,1000,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-02-09,16:15:41.030,-31,0,100,0,0,1,250,-31,100,11,100,50,100,24,-0.07,0.02,0.13,"ANGL",16.6,0.4,201,97,51.442142 11.576357,1.2,177.50,9,21,0.0,308,0,10,24,-1024,-13,-1024,-1024,-1024,932,22,0,0,0,0,0,1,0,-1,0x0500800000000000,1494,1511,1000,1505,1000,1275,1000,1500,1040,1500,1500,1000,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-02-09,16:15:41.530,-24,0,100,0,0,1,250,-25,100,10,100,50,100,24,-0.05,-0.02,0.06,"ANGL",16.6,0.4,201,97,51.442142 11.576357,1.2,177.50,9,21,-0.3,308,0,8,24,-715,-13,-1024,-1024,-1024,931,22,0,0,0,0,0,1,0,-1,0x0500001800000000,1494,1511,1152,1504,1000,1275,1000,1500,1040,1500,1500,1000,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-02-09,16:15:42.030,-22,0,100,0,0,1,250,-22,100,10,100,50,100,24,-0.05,-0.02,0.06,"ANGL",16.6,0.3,201,97,51.442142 11.576357,1.2,177.50,9,21,-0.3,308,0,8,24,-385,-13,-1024,-1024,-1024,937,22,0,0,0,0,0,1,0,-1,0x0500001800000000,1494,1511,1312,1504,1000,1275,1000,1500,1037,1500,1500,1000,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-02-09,16:15:42.530,-24,0,100,0,0,1,250,-25,100,10,100,50,100,24,-0.05,-0.02,0.06,"ANGL",16.6,0.3,201,97,51.442142 11.576356,0.3,177.50,9,21,-0.3,308,0,10,24,-148,-13,-1024,-1024,-1024,932,22,0,0,0,0,0,1,0,-1,0x0500001800000000,1494,1511,1428,1505,1000,1275,1000,1500,1040,1500,1500,1000,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-02-09,16:15:43.030,-21,0,100,0,0,1,250,-22,100,11,100,50,100,24,-0.04,-0.01,0.05,"ANGL",16.6,0.3,201,97,51.442142 11.576356,0.3,177.50,9,21,-0.3,308,0,10,23,-148,-13,-1024,-1024,-1024,929,22,0,0,0,0,0,1,0,-1,0x0500001800000000,1494,1511,1428,1505,1000,1275,1000,1500,1041,1500,1500,1000,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-02-09,16:15:43.530,-17,0,100,0,0,1,250,-18,100,11,100,50,100,24,-0.04,-0.01,0.05,"ANGL",16.6,0.3,201,97,51.442142 11.576356,0.3,177.50,9,21,-0.5,308,0,10,24,-148,-13,-1024,-1024,-1024,928,23,0,0,0,0,0,1,0,-1,0x0500001800000000,1494,1511,1428,1505,1000,1275,1000,1500,1042,1500,1500,1000,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-02-09,16:15:44.030,-20,0,100,0,0,1,250,-20,100,11,100,50,100,24,-0.04,-0.01,0.05,"ANGL",16.6,0.3,201,97,51.442142 11.576355,0.9,177.50,9,21,-0.5,308,0,10,24,-148,-13,-1024,-1024,-1024,932,22,0,0,0,0,0,1,0,-1,0x0500001800000000,1494,1511,1428,1505,1000,1275,1000,1500,1040,1500,1500,1000,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-02-09,16:15:44.530,-21,0,100,0,0,1,250,-22,100,11,100,50,100,24,-0.04,0.00,-0.32,"ANGL",16.6,0.3,201,97,51.442142 11.576355,0.9,177.50,9,21,-0.5,308,0,10,24,-148,-13,-1024,-1024,-1024,942,23,0,0,0,0,0,1,0,-1,0x0500001800000000,1494,1511,1428,1505,1000,1275,1000,1500,1034,1500,1500,1000,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-02-09,16:15:45.030,-18,0,100,0,0,1,250,-18,100,11,100,50,100,24,-0.04,0.00,-0.32,"ANGL",16.6,0.3,202,97,51.442142 11.576355,0.9,177.50,9,21,-0.5,308,0,10,25,-148,-13,-1024,-1024,-1024,948,22,0,0,0,0,0,1,0,-1,0x0500001800000000,1494,1512,1428,1505,1000,1275,1000,1500,1031,1500,1500,1000,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-02-09,16:15:45.530,-20,0,100,0,0,1,250,-20,100,10,100,50,100,24,-0.04,0.00,-0.32,"ANGL",16.6,0.3,202,97,51.442143 11.576352,1.7,252.70,9,21,-0.5,308,0,10,24,-148,-13,-1024,-1024,-1024,956,22,0,0,0,0,0,1,0,-1,0x0500001800000000,1494,1511,1428,1505,1000,1275,1000,1500,1026,1500,1500,1000,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-02-09,16:15:46.030,-18,0,100,0,0,1,250,-18,100,11,100,50,100,24,-0.03,-0.05,0.10,"ANGL",16.6,0.3,202,97,51.442143 11.576352,1.7,252.70,9,21,-0.5,308,0,10,24,-148,-13,-1024,-1024,-1024,947,22,0,0,0,0,0,1,0,-1,0x0500001800000000,1494,1511,1428,1505,1000,1275,1000,1500,1031,1500,1500,1000,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-02-09,16:15:46.530,-28,0,100,0,0,1,250,-28,100,11,100,50,100,24,-0.03,-0.05,0.10,"ANGL",16.6,0.3,202,97,51.442143 11.576352,1.7,252.70,9,21,-0.6,308,0,10,24,-148,-13,-1024,-1024,-1024,920,22,0,0,0,0,0,1,0,-1,0x0500001800000000,1494,1511,1428,1505,1000,1275,1000,1500,1046,1500,1500,1000,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-02-09,16:15:47.030,-39,0,100,0,0,1,250,-39,98,11,100,50,100,24,-0.03,-0.05,0.10,"ANGL",16.6,0.3,202,97,51.442143 11.576349,0.3,152.30,9,21,-0.6,308,0,11,24,-148,-13,-1024,-1024,-1024,926,22,0,0,0,0,0,1,0,-1,0x0500001800000000,1494,1511,1428,1505,1000,1275,1000,1500,1043,1500,1500,1000,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-02-09,16:15:47.530,-44,0,100,0,0,1,250,-45,98,11,100,50,100,24,0.23,0.04,0.05,"ANGL",16.6,0.3,202,97,51.442143 11.576349,0.3,152.30,9,21,-1.5,308,0,10,24,-148,-13,-1024,-1024,-1024,920,22,0,0,0,0,0,1,0,-1,0x0500001800000000,1494,1511,1428,1505,1000,1275,1000,1500,1046,1500,1500,1000,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
